Country,Region,Subregion,City
nigeria,delta,burutu,isoko camps
syria,aleppo,jebel saman,kafr karmin
india,assam,golaghat,doigrong
burundi,bujumbura rural,mugongomanga,kibira
kenya,nairobi,westlands,parklands
syria,hama,muhradah,kafr zeita
india,kerala,kozhikode,mukkam
egypt,menia,abu qurqas,al matahirah al qiblyah
south africa,kwazulu-natal,zululand,machibini
syria,aleppo,a'zaz,tweis
somalia,bay,baydhabo,masuubiye
afghanistan,herat,farsi,farsi
sudan,south darfur,gereida,sanga
turkey,istanbul,bagcilar,bagcilar
yemen,al bayda,as sawmaah,az zahar
kenya,marsabit,saku,marsabit
mozambique,inhambane,jangamo,jangamo
niger,diffa,diffa,lamana
yemen,sadah,kitaf wa al boqee,salban
india,nagaland,dimapur,chumukedima
yemen,taizz,hayfan,hayfan
sudan,south kordofan,heiban,kumo
nigeria,katsina,rimi,rimi
algeria,djelfa,djelfa,djelfa
senegal,ziguinchor,bignona,kafountine
madagascar,antananarivo,analamanga,soavimasoandro
yemen,al bayda,wald rabi,najd ash shawahirah
afghanistan,paktika,barmal,khowjikheyl
south africa,eastern cape,alfred nzo,ntabankulu
nigeria,rivers,akuku toru,oloma
democratic republic of congo,orientale,haut-uele,laso
egypt,giza,imbaba,al qata
india,telangana,medak,jagadevpur
india,kerala,kozhikode,thottilpalam
south africa,kwazulu-natal,ilembe,shakaskraal
south africa,eastern cape,nelson mandela bay,colchester
pakistan,sindh,mirpurkhas,umerkot
sudan,blue nile,blue nile,ed damazin
burkina faso,nord,yatenga,namissiguima
democratic republic of congo,sud-kivu,sud-kivu,mulungu
india,maharashtra,raigarh,karjat
nigeria,zamfara,zurmi,kanwa
angola,uige,mucaba,quibianga
morocco,tanger - tetouan,tanger assilah,boukhalef
somalia,shabeellaha hoose,wanla weyn,gobanle
syria,aleppo,menbij,mahsana
pakistan,balochistan,dera bugti,pir koh
nepal,west,lumbini,banaganga
yemen,sanaa,hamdan,al ghurzah
yemen,taizz,ash shamayatayn,jabal rasin
turkey,hatay,kirikhan,kirikhan
india,madhya pradesh,indore,sanwer
mali,mopti,tenenkou,tina
india,madhya pradesh,mandsaur,suwasara
iraq,kirkuk,dibis,altun kupri
guinea,labe,koubia,kalouma
syria,aleppo,afrin,iskan
nigeria,kaduna,kagarko,jiri
south africa,mpumalanga,nkangala,siyabuswa
ethiopia,amhara,semen gondar,sanghi
yemen,sadah,baqim,al ashshah
egypt,aswan,abu simbel,abu simbel
turkey,erzincan,kemah,kemah
tanzania,kigoma,kigoma urban,kigoma
nigeria,delta,aniocha south,ogwashi-uku
india,west bengal,darjeeling,kalijhora
syria,homs,homs,tir maallah
nigeria,rivers,ahoada east,ahoada
libya,darnah,darnah,ayn bint
yemen,taizz,maqbanah,wadi al jisr
mozambique,sofala,machanga,machanga
afghanistan,badakhshan,khash,khash
somalia,woqooyi galbeed,hargeysa,gacan libaah
democratic republic of congo,orientale,ituri,katala
uganda,kiboga,kiboga,kiboga
burkina faso,centre-ouest,sissili,boura
madagascar,antananarivo,vakinankaratra,ampotaka
burkina faso,haut-bassins,houet,sikasso-sira
india,jammu and kashmir,ganderbal,prang
somalia,shabeellaha hoose,sablale,haawaay
central african republic,ombella mpoko,boali,ngatou
sierra leone,northern,port loko,thombo
pakistan,khyber pakhtunkhwa,peshawar,masho khel
syria,al-hasakeh,quamishli,zorfafa
syria,idleb,jisr-ash-shugur,upper sheikh sindyan
central african republic,sangha-mbaere,nola,loppo
turkey,sirnak,sirnak,dereler
democratic republic of congo,kasai-occidental,lulua,dibataye
syria,hama,as-salamiyeh,eastern bari
burkina faso,sahel,soum,kenou
india,tamil nadu,salem,thimmampettai
guinea,kindia,kindia,yagouya
sierra leone,northern,koinadugu,farama
pakistan,khyber pakhtunkhwa,swabi,shewa
pakistan,punjab,sialkot,shakargarah
libya,al hizam al akhdar,benghazi,sidi salim
india,karnataka,udupi,kallianpur
yemen,taizz,al waziiyah,as sanamah
algeria,sidi bel abbes,ben badis,ben badis
india,west bengal,howrah,bally
zambia,central,mkushi,mkushi
sierra leone,northern,koinadugu,kamawie
nigeria,taraba,sardauna,mambilla hill
libya,tajura wa an nawahi al arba,tripoli,al serraj
palestine,west bank,jericho,jericho
bangladesh,dhaka,madaripur,umedpur
nigeria,gombe,dukku,dukku
kenya,garissa,fafi,sangailu
somalia,shabeellaha hoose,marka,nagaadweyne
algeria,ain defla,tiberkanine,tiberkanine
madagascar,mahajanga,sofia,mampikony
yemen,al hudaydah,as salif,rashshah
afghanistan,nangarhar,achin,tangai
uganda,kibale,buyaga,kisojo
central african republic,bangui,bangui,kpetene
algeria,tizi ouzou,ifigha,ihassanene-n-ait isaad
iran,khuzestan,ramhormoz,soltanabad
algeria,setif,setif,bousselam
algeria,batna,gosbat,el djezzar
burkina faso,sahel,soum,diguel
egypt,suez,ataqah,ain sukhna
south africa,western cape,city of cape town,tableview
egypt,alexandria,al manshiyya,al mansheyah
burkina faso,sahel,oudalan,deou
india,maharashtra,sangli,sangli
tunisia,ariana,mnihla,el mnihla
tunisia,kairouan,alaa,douar ouled ali ben salem
saudi arabia,al madinah,al madinah,medina
algeria,tizi ouzou,larbaa nait irathen,larbaa nait irathen
cameroon,extreme-nord,logone-et-chari,madaoueha
saudi arabia,ar riyad,ar riyad,riyadh-al aziziyah
afghanistan,balkh,charbolak,arzan kar
liberia,gbarpolu,belleh,belle fassamah
somalia,bari,calawla,jidad carmo
nigeria,kaduna,birnin-gwari,dogon dawa
iraq,kirkuk,kirkuk,markaz nahiyah shuwan
india,punjab,pathankot,pathankot
bangladesh,dhaka,kishoreganj,pakundia
india,punjab,muktsar,malout
india,assam,darrang,bhebarghat
india,punjab,barnala,chhiniwal kalan
algeria,chlef,boukadir,boukadir
india,jammu and kashmir,pulwama,mongahum
syria,aleppo,jebel saman,al-eis
india,assam,kamrup,amingaon
yemen,taizz,sabir al mawadim,ad dabab
south africa,eastern cape,amathole,ngqamakwe
lebanon,baalbek-hermel,baalbek,fekehe
sierra leone,northern,port loko,futa
nepal,west,gandaki,laxmibazar
angola,benguela,baia farta,dombe grande
turkey,hakkari,cukurca,ertu
ethiopia,oromia,misraq harerge,harawacha
sudan,bahr el ghazal,lakes,lol
democratic republic of congo,orientale,tshopo,lobolo
south africa,north west,ngaka modiri molema,kopela
democratic republic of congo,orientale,tshopo,amisi
nigeria,imo,ideato south,dikenafai
nigeria,zamfara,bukkuyum,bukuyum
tunisia,gabes,metouia,wadhraf
south africa,eastern cape,buffalo city,fort grey
india,chhattisgarh,dantewada,kerlapal
sudan,south kordofan,rashad,ras al fil
sierra leone,northern,koinadugu,serekoro
india,nct of delhi,north west delhi,delhi-mangol puri
nigeria,ogun,imeko-afon,igbogbo
kenya,muranga,maragwa,gichugu
mali,mopti,douentza,niangassagou
angola,lunda norte,cambulo,maludi
iran,east azarbaijan,tabriz,tabriz
india,haryana,kurukshetra,pipli
india,punjab,moga,daudhar sharki
democratic republic of congo,nord-kivu,nord-kivu,bumbi
afghanistan,parwan,ghorband,hajatgah
kenya,kilifi,kilifi north,kilifi
india,odisha,kendujhar,beleipada
uganda,moroto,bokora,nakicumet
syria,idleb,al ma'ra,faqie
south africa,limpopo,vhembe,masisi
senegal,sedhiou,sedhiou,diacounda
india,uttar pradesh,kushinagar,padrauna
india,west bengal,birbhum,nanoor
nigeria,gombe,nafada,bolari
central african republic,mbomou,gambo,pombolo
sierra leone,northern,bombali,kambia mapulen
zimbabwe,masvingo,chiredzi,chikombedzi
syria,al-hasakeh,al-malikeyyeh,qarrah chouk mountains
zimbabwe,manicaland,makoni,rusape
iraq,ninewa,telafar,kisik kupri
democratic republic of congo,nord-kivu,nord-kivu,musuku
yemen,taizz,sabir al mawadim,al hawban
central african republic,haut-mbomou,obo,koubou
india,tamil nadu,krishnagiri,anchetti
india,tamil nadu,tirunelveli,tirunelveli
pakistan,gilgit-baltistan,diamer,basha
algeria,jijel,el kennar nouchfi,el kennar
egypt,giza,al badrashin,dahshour
democratic republic of congo,orientale,haut-uele,lundi
syria,aleppo,jebel saman,al-qasmiyeh
kenya,narok,kilgoris,mara north conservancy
cameroon,ouest,haut-nkam,bafang
south africa,limpopo,sekhukhune,mohlaletsi
afghanistan,nangarhar,dih bala,oghz
india,jammu and kashmir,kupwara,keran
tanzania,shinyanga,kahama township authority,kahama
pakistan,punjab,mianwali,iskandarbad
syria,aleppo,jarablus,halawanji
kenya,kirinyaga,mwea,tebere farm
afghanistan,ghor,shahrak,pay-e oshan
somalia,shabeellaha hoose,afgooye,km7
syria,as-sweida,shahba,mtuna
somalia,gedo,bardera,birta-dheer
sudan,central darfur,zalingei,kourro
bangladesh,rangpur,kurigram,paurashava
yemen,taizz,as silw,juayshan
iraq,ninewa,mosul,kanisiyah
south sudan,upper nile,ulang,bukteng
india,odisha,kendrapara,deula pada
sierra leone,northern,tonkolili,mile 91
india,west bengal,purba medinipur,bhupatinagar
democratic republic of congo,nord-kivu,nord-kivu,kanune
afghanistan,balkh,chimtal,imam sahib
syria,idleb,ariha,deir sunbul
syria,idleb,idleb,arshani
nigeria,bauchi,tafawa balewa,tafawa-balewa
india,jammu and kashmir,rajouri,thanamandi
zimbabwe,mashonaland west,kariba,kariba
algeria,tizi ouzou,tizi ouzou,tizi ouzou
ethiopia,tigray,debubawi,bahre selam
india,tamil nadu,tiruppur,shamalpuram
sierra leone,southern,pujehun,pujehun
nigeria,ogun,obafemi owode,arepo
sudan,north darfur,kutum,baashim
india,jharkhand,giridih,giridih
democratic republic of congo,katanga,lualaba,mukungulu
yemen,marib,medghal,wadi al makhdarah
yemen,al mahwit,milhan,bayt adh dhamari
sudan,south kordofan,habila,abri
iraq,ninewa,mosul,qaryat al arij
madagascar,toliary,anosy,ivahona
democratic republic of congo,sud-kivu,sud-kivu,kikombo
south sudan,western equatoria,yambio,gangura
pakistan,sindh,larkana,syed sachal shah
syria,dar'a,as-sanamayn,eib
lebanon,mount lebanon,aley,ain dara
democratic republic of congo,equateur,nord-ubangi,mobayi-mbongo
sierra leone,northern,port loko,ro-gbil
india,uttar pradesh,ballia,rasra
syria,aleppo,menbij,sugar factory
yemen,taizz,hayfan,najd al hamra
pakistan,balochistan,quetta,quetta
nigeria,delta,ughelli north,uwheru
kenya,nakuru,nakuru town east,mauche
algeria,ain defla,miliana,miliana
israel,hadarom,ashqelon,sderot
democratic republic of congo,orientale,ituri,kafe
turkey,batman,hasankeyf,hasankeyf
somalia,bay,diinsoor,gaduud
yemen,ad dali,ad dhalee,shairi
pakistan,khyber pakhtunkhwa,karak,pir mela
botswana,kweneng,kweneng south,molepolole
nepal,central,bagmati,bhaisepati
niger,diffa,diffa,shatimari
somalia,banaadir,mogadisho,wadajir
afghanistan,kunduz,gortapa,gortapa
sierra leone,southern,bonthe,jong
india,punjab,tarn taran,sheron
ethiopia,amhara,north shewa,angolela
syria,aleppo,jebel saman,tadil
pakistan,balochistan,gwadar,sardasht
nepal,east,sagarmatha,kalyanpur
sudan,north darfur,kutum,um sidir
central african republic,kemo,dekoa,mbimbi
syria,hama,as-suqaylabiyah,kirkat
somalia,woqooyi galbeed,hargeysa,ceeriga
tunisia,medenine,ben guerdane,ras ajdir
syria,hama,hama,al-aqlah
afghanistan,kapisa,tagab,wali khel
guinea,kindia,dubreka,kolakoura
nigeria,osun,ede south,ede
cameroon,extreme-nord,logone-et-chari,woromari
india,west bengal,burdwan,ketugram
madagascar,antananarivo,analamanga,ambanitsena
india,tamil nadu,dindigul,oddanchatram
yemen,taizz,al mukha,ath thawbani
india,nct of delhi,north east delhi,delhi-rohtas nagar
guinea,faranah,dabola,dabola
bangladesh,rangpur,thakurgaon,paria
nigeria,kwara,ekiti,araromi-opin
south africa,northern cape,frances baard,barkly west
india,west bengal,cooch behar,dinhata
nigeria,federal capital territory,gwagwalada,dobi
sudan,east darfur,assalaya,assalaya
somalia,gedo,garbahaarey,ajaawa
nigeria,anambra,ihiala,uli
south sudan,western equatoria,nagero,nagero
syria,quneitra,quneitra,al-ajraf
sierra leone,northern,port loko,rofurawa
uganda,apac,oyam,aber
syria,deir-ez-zor,deir-ez-zor,deir-ez-zor - military airport
sudan,equatoria,central equatoria,lokiliri
nepal,far-western,mahakali,baitadi
algeria,bejaia,darguinah,taskriout
india,tamil nadu,virudhunagar,kariapatti
nigeria,borno,magumeri,ngubala
south africa,western cape,city of cape town,thornton
sudan,south darfur,id el ghanem,telehoon
uganda,katakwi,amuria,olekai
burundi,bujumbura rural,mutimbuzi,tenga
nigeria,borno,chibok,kautakari
south africa,gauteng,city of johannesburg,naturena
kenya,bungoma,tongaren,kinyoro
india,uttarakhand,rudraprayag,agustmuni
democratic republic of congo,sud-kivu,sud-kivu,kisasa
eritrea,gash barka,omhajer,goluge
libya,mizdah,al jabal al gharbi,mizdah
india,assam,nagaon,samaguri
ethiopia,oromia,north shewa,shimelis
democratic republic of congo,maniema,maniema,kabulungu
democratic republic of congo,nord-kivu,nord-kivu,katobo
pakistan,fata,kurram agency,takhtai
nepal,central,janakpur,aurahi
uganda,mukono,buikwe,najjembe
uganda,bushenyi,igara,katima
zimbabwe,harare,harare,mabvuku
pakistan,khyber pakhtunkhwa,mardan,jamal garhi
somalia,bakool,ceel barde,qeedi
sudan,blue nile,geissan,maqanza
ethiopia,oromia,mirab welega,yubdo
somalia,togdheer,burao,durruqsi
india,jammu and kashmir,kupwara,tangdhar
uganda,mukono,buikwe,kasokoso
chad,logone oriental,nya pende,moundou
syria,rural damascus,qatana,yafur
pakistan,khyber pakhtunkhwa,swat,sherpalam
egypt,dakahlia,aga,garrah
iraq,sala al-din,baiji,qaryat al muslakhah
nigeria,bauchi,toro,toro
syria,aleppo,al bab,shaalah
yemen,marib,bidbadah,al barah
nigeria,delta,ughelli north,okpara
sudan,bahr el ghazal,northern bahr-al-ghazal,makwaj
south africa,north west,ngaka modiri molema,itsoseng
somalia,banaadir,mogadisho,el ade port
india,haryana,rohtak,sampla
sudan,south darfur,bielel,amburu
rwanda,iburasirazuba,bugesera,kindama
syria,aleppo,afrin,basufan
burundi,kayanza,butaganzwa1,musema
angola,bie,cunhinga,belo horizonte
uganda,kotido,dodoth,kawalakol
india,uttar pradesh,amethi,gauriganj
angola,huila,caluquembe,camucuio
angola,moxico,alto zambeze,calunda
south sudan,central equatoria,yei,kabengere
south africa,kwazulu-natal,ethekwini,gandhis hill
sudan,south darfur,kass,jongolea
turkey,hatay,hassa,akbez
syria,homs,tadmor,sharifah
yemen,lahij,tuban,zaidah
liberia,lofa,kolahun,masizu
kenya,kwale,kinango,mariakani
india,goa,south goa,margao
sierra leone,northern,kambia,kangawala
india,jammu and kashmir,pulwama,padgampora
yemen,taizz,sabir al mawadim,jabal sabir
egypt,north sinai,el arish 1,al-samran
mozambique,tete,tsangano,tsangano
yemen,hajjah,mabyan,mabyan
burundi,rutana,giharo,nkanka
india,haryana,jhajjar,silana
india,jammu and kashmir,shopian,watho
cambodia,srae ambel,srae ambel,srae ambel
sudan,south kordofan,umm durein,al nogra
somalia,bakool,waajid,ceel jelow
india,gujarat,ahmedabad,bapunagar
zimbabwe,masvingo,mwenezi,mwenezi
burundi,ruyigi,gisuru,nyarumanga
syria,dar'a,izra',jenin
uganda,sironko,budadiri,buyobo
cameroon,sud-ouest,manyu,nyang
ethiopia,somali,jarar,dusmo
yemen,taizz,al mukha,al mukha port
india,andhra pradesh,east godavari,chinturu
syria,aleppo,as-safira,aqraba
central african republic,nana-mambere,bouar,yongoro mbolaye
nigeria,borno,damboa,kafa
india,west bengal,alipurduar,alipurduar
india,punjab,faridkot,jaitu
bangladesh,rangpur,dinajpur,setabganj paurashava
central african republic,ouham,bouca,bouca
yemen,al jawf,az zahir,az zahir
sudan,south kordofan,talodi,jabal el obeid
sudan,west darfur,el geneina,bir dagig
india,uttar pradesh,mainpuri,kuraoli
algeria,bejaia,akbou,akbou
ghana,central,ajumako-enyan-esiam,akumfi
yemen,sanaa,arhab,yahis
india,maharashtra,mumbai city,mumbai-matunga
palestine,west bank,hebron,dura
ivory coast,abidjan,abidjan,abidjan
mozambique,sofala,buzi,estaquinha
yemen,marib,marib,al ashraf
sudan,south kordofan,al buram,tanasa
south africa,western cape,city of cape town,lwandle
cambodia,mondulkiri,senmonorom,senmonorom
afghanistan,laghman,mehtar lam,badayabad
angola,bie,nharea,lubia
sudan,south kordofan,dilling,salara
south sudan,jonglei,uror,payai
iraq,sala al-din,baiji,wadi ath tharthar
sudan,equatoria,western equatoria,namama
yemen,sadah,al dhaher,ghafirah
syria,homs,homs,homs - al-waer
afghanistan,khost,tere zayi,babrak tana
india,haryana,kaithal,kaithal
yemen,amran,kharif,as suq al jadid
somalia,bay,diinsoor,gurbaan
sudan,equatoria,eastern equatoria,lafon
egypt,fayoum,abshaway,senro al bahreyah
egypt,beni suef,al fashn,al fashn
nepal,central,bagmati,duwakot
nigeria,rivers,obia/akpor,rumukoroshe
somalia,jubbada dhexe,jilib,haramka
mozambique,cabo delgado,muidumbe,muidumbe
uganda,bundibugyo,bwamba,harugali
india,madhya pradesh,seoni,gangpur
yemen,sadah,saqayn,fawt
somalia,shabeellaha hoose,afgooye,buulo-folyo
egypt,sharkia,minya al qamh,al hamdyah
burundi,kayanza,matongo,matongo
algeria,tizi ouzou,ait-yahia,ait yahia
israel,hadarom,beer sheva,arad
zimbabwe,mashonaland east,mutoko,mashonaland east
pakistan,punjab,multan,gulgasht colony
turkey,tunceli,mazgirt,mazgirt
syria,al-hasakeh,al-hasakeh,tal shayr
eritrea,debub,ghidae,dembe
india,tamil nadu,tirunelveli,veeravanallur
nigeria,kaduna,kaura,tafam
iraq,sala al-din,baiji,seneia
kenya,laikipia,laikipia west,ol ari nyiro
democratic republic of congo,nord-kivu,nord-kivu,musindi
sudan,central darfur,mukjar,shangel tobaya
yemen,sanaa,bani matar,al khasamah
india,maharashtra,mumbai city,koliwada
somalia,gedo,belet xaawo,belet aamin
syria,aleppo,al bab,um elmara
syria,aleppo,jebel saman,big bweideh
south africa,gauteng,city of johannesburg,turffontein
israel,hamerkaz,petah tikva,gan leummi mivzar qula
yemen,lahij,al maqatirah,hadadah
india,mizoram,aizawl,aizawl
india,west bengal,birbhum,khayrasole
egypt,north sinai,rafah,al muqataah
iraq,ninewa,telafar,at tiniyah
afghanistan,ghazni,ghazni,qalah-ye qazi
india,west bengal,north 24 parganas,haroa
turkey,van,caldiran,caldiran
burundi,ruyigi,gisuru,rusange
iraq,kirkuk,haweeja,qaryat sadiyah
somalia,mudug,hobyo,sadax higlo
yemen,ad dali,qaatabah,asaf murays
india,uttarakhand,udham singh nagar,kichha
ethiopia,somali,afder,elkere
guinea,kankan,kankan,kankan
india,west bengal,birbhum,nalhati
south sudan,jonglei,nyirol,shwil
cambodia,trapeang prasat,trapeang prasat,trapeang prasat
madagascar,toamasina,alaotra-mangoro,moramanga
nigeria,ekiti,oye,aiyede
central african republic,ombella mpoko,bimbo,sakolo
mauritania,trarza,trarza,rosso
sudan,north darfur,el fasher,dadi
india,andhra pradesh,chittoor,srikalahasti
algeria,bejaia,el kseur,el kseur
nigeria,delta,warri north,ajoki
yemen,marib,marib,atran
indonesia,lampung,bandar lampung,bandar lampung
palestine,west bank,tubas,tubas-al aqaba
pakistan,fata,bajaur agency,barkhalozo
india,tamil nadu,ramanathapuram,sevvur
india,assam,karbi anglong,donkamokam
algeria,tipaza,gouraya,douar beni ali
afghanistan,nangarhar,khogyani,ador
india,jammu and kashmir,baramulla,pahlipora
india,jammu and kashmir,shopian,chitragam
eritrea,maekel,mendefera,igri mekel
nigeria,oyo,iseyin,iseyin
yemen,sanaa,bilad ar rus,ad dula
india,tamil nadu,krishnagiri,puram
sudan,south darfur,gereida,dar el salam
yemen,abyan,lawdar,al ayn
sierra leone,southern,moyamba,gbessebu
india,manipur,bishnupur,kumbi
kenya,turkana,loima,kibish
yemen,lahij,tuban,al hamra
somalia,nugaal,garowe,ceel buh
egypt,fayoum,sinnuris,sinnuris
yemen,taizz,hayfan,al hujmah
sudan,east darfur,adila,tortahan
india,uttar pradesh,deoria,madanpur
south africa,north west,bojanala,brits
rwanda,iburengerazuba,karongi,kibuye
somalia,gedo,bardera,jungal
turkey,tunceli,tunceli,tunceli
sudan,river nile,shendi,shendi
nepal,west,dhaualagiri,baglung
india,jammu and kashmir,anantnag,arwin
india,kerala,thiruvananthapuram,neyyattinkara
bahrain,capital,,wadiyan
ghana,eastern,west akim,yakoko
guinea,nzerekore,gueckedou,kuelobengo
kenya,wajir,wajir north,mado-godha
india,jammu and kashmir,budgam,chadoora
syria,hama,hama,hama
pakistan,punjab,multan,sher shah town
kenya,muranga,gatanga,ngoliba
sudan,east darfur,abu jabra,kario
iraq,erbil,koisnjaq,bardah sabi
somalia,woqooyi galbeed,gabiley,gabiley
india,gujarat,anand,petlad
malawi,mulanje,mulanje boma,mulanje
yemen,sanaa,hamdan,harran
nigeria,bayelsa,sagbama,agbere
democratic republic of congo,nord-kivu,nord-kivu,mabenga
sudan,equatoria,western equatoria,nagero
nigeria,rivers,khana,bori
nigeria,borno,bama,bama
rwanda,iburengerazuba,nyabihu,nyamutera
syria,dar'a,izra',western maliha
tanzania,pemba south,mkoani,kiwani
bahrain,central,,aali
india,gujarat,ahmedabad,thaltej
ethiopia,oromia,mirab hararghe,mechara
yemen,al bayda,at taffah,al maudah
india,odisha,bargarh,melchhamunda
